"Step","shared_encoder_v2 - generated B distribution"
"647","{""values"":[498,3240,24109,85343,123856,114059,91805,72311,56866,46517,38245,32520,28152,25104,22481,20204,19210,18100,17157,16514,15748,15225,14485,13853,13019,12270,11679,11018,9992,9331,8361,7595,6920,6265,5441,4824,4087,3667,3094,2609,2203,1908,1604,1307,1064,929,777,617,541,439,366,269,221,160,123,79,60,42,34,25,14,10,4,6],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"652","{""_type"":""histogram"",""values"":[337,1905,10901,44954,82173,94692,91528,81876,71175,61517,52639,45010,38358,33049,28807,25274,22479,20208,18751,17399,16411,15712,14858,14129,13726,13010,12465,11669,11104,10339,9504,8821,7822,7083,6099,5326,4608,3918,3256,2698,2258,1878,1598,1395,1151,952,713,606,508,400,385,283,217,170,147,96,81,61,39,21,15,6,2,4],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"657","{""_type"":""histogram"",""values"":[253,1683,11367,32206,49727,57223,57672,54387,50800,47451,43590,40007,37364,34473,32581,30585,29055,27603,26566,25346,24356,23223,22479,22070,21254,20302,19843,18605,17665,16844,15919,15045,13959,12719,11458,10625,9421,8485,7418,6586,5907,5219,4575,4164,3560,3113,2628,2322,1874,1640,1367,995,800,633,475,342,252,189,116,80,53,28,8,21],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"662","{""values"":[375,2494,17123,49728,74845,80785,69739,59024,51316,45171,40362,36370,32916,30629,28563,26774,25328,24662,23652,23236,22343,21839,21381,20580,20160,19330,18675,17659,16801,15623,14312,13389,11938,10547,9527,8065,7006,6111,5152,4221,3601,2999,2601,2111,1742,1477,1274,985,850,649,542,489,326,312,241,165,138,103,77,44,44,26,17,12],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"667","{""_type"":""histogram"",""values"":[137,1261,6812,17370,27012,30383,30048,30450,32346,34185,35154,34828,33699,32473,31582,30311,29533,28588,27867,27541,27501,26456,25955,25747,25163,24393,24185,23623,22920,21925,21254,20408,19671,18397,17807,17004,16174,15012,14192,13391,12438,11827,10842,9819,8932,8098,7362,6539,5705,4812,4094,3469,2875,2341,1882,1409,1085,789,558,354,273,137,95,83],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"672","{""_type"":""histogram"",""values"":[337,2300,10448,22126,26790,28760,30597,32382,33477,34661,34682,35080,35103,35063,34508,34271,33788,33426,33117,32702,31858,31268,30587,29681,29051,28079,26692,25348,24104,22806,21371,19764,18344,16927,15533,14144,12936,11648,10346,9347,8202,7176,6309,5520,4747,4094,3587,3020,2605,2129,1794,1496,1140,885,709,492,377,277,213,132,85,62,34,39],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"677","{""_type"":""histogram"",""values"":[160,1123,5861,14535,19379,21090,22227,24175,26660,28657,29589,29595,29067,28928,28956,29069,29012,29241,29691,29807,29668,29759,29246,29438,28498,28169,27731,26983,26130,25609,24488,23407,22294,21497,20298,19159,17701,16820,15833,14640,13678,12692,11704,10828,9689,8671,7892,7080,6214,5183,4379,3754,2980,2467,1979,1552,1133,920,577,399,271,165,85,94],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"682","{""_type"":""histogram"",""values"":[275,2175,14062,44387,60790,57081,52147,47384,44383,42407,38272,34279,31680,29102,27190,25669,24912,23828,23273,22486,22354,21671,21107,20895,20570,20169,19769,19486,18890,18306,17550,17226,16203,15320,14244,13465,12119,11030,10278,9434,8582,7480,6627,5885,5291,4594,4106,3536,3179,2688,2328,1861,1549,1318,1032,760,614,468,293,212,137,70,48,50],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"687","{""values"":[213,1381,6861,18382,28162,32318,34089,35667,36638,37093,37134,36281,35209,34150,32854,32589,31593,31163,30560,29434,29142,28052,27738,26981,25957,25376,24614,23286,22100,21230,20264,19013,18169,16859,15539,14654,13815,12729,11647,10896,9977,8957,8049,7408,6787,5996,5436,4642,4194,3566,3008,2447,1968,1613,1225,1037,755,566,405,281,182,108,68,69],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"692","{""values"":[169,1680,8454,18760,24228,25975,28027,30508,32965,34247,34947,34584,34508,33683,33211,33055,32631,32046,32000,31239,29993,29875,29155,28644,27667,26914,25944,24826,23505,22692,21659,20533,19109,18095,16757,15488,14303,13362,12173,11092,10197,9560,8548,7547,6970,6042,5496,4692,4114,3654,2798,2402,1861,1638,1240,910,695,501,386,211,166,101,58,86],""_type"":""histogram"",""bins"":[0,3.984375476837158,7.968750953674316,11.953126430511475,15.937501907348633,19.92187738418579,23.90625286102295,27.890628337860107,31.875003814697266,35.859379291534424,39.84375476837158,43.82813024520874,47.8125057220459,51.79688119888306,55.781256675720215,59.76563215255737,63.75000762939453,67.73438310623169,71.71875858306885,75.703134059906,79.68750953674316,83.67188501358032,87.65626049041748,91.64063596725464,95.6250114440918,99.60938692092896,103.59376239776611,107.57813787460327,111.56251335144043,115.54688882827759,119.53126430511475,123.5156397819519,127.50001525878906,131.48439073562622,135.46876621246338,139.45314168930054,143.4375171661377,147.42189264297485,151.406268119812,155.39064359664917,159.37501907348633,163.3593945503235,167.34377002716064,171.3281455039978,175.31252098083496,179.29689645767212,183.28127193450928,187.26564741134644,191.2500228881836,195.23439836502075,199.2187738418579,203.20314931869507,207.18752479553223,211.17190027236938,215.15627574920654,219.1406512260437,223.12502670288086,227.10940217971802,231.09377765655518,235.07815313339233,239.0625286102295,243.04690408706665,247.0312795639038,251.01565504074097,255.00003051757812]}"
"697","{""values"":[335,2352,14470,53308,97016,102762,91146,77712,64250,52977,44650,37499,32518,28637,25628,23630,21745,20305,19200,18109,17166,16064,15582,14698,13997,13519,12781,12196,11510,10660,10111,9358,8586,7799,6948,6215,5458,4692,3945,3476,2935,2415,1999,1637,1351,1082,904,700,597,463,418,259,206,195,126,82,65,43,30,25,16,8,4,6],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"702","{""_type"":""histogram"",""values"":[277,1509,9464,49180,98803,113743,100187,80707,66061,54941,44765,37526,30889,26588,23447,20901,18959,17594,16370,15653,15394,14878,14614,14343,14098,13721,13592,13166,12558,12017,11059,10268,9217,8327,7379,6282,5567,4592,3827,3222,2671,2090,1765,1407,1100,806,685,492,419,342,262,194,192,119,69,82,59,42,37,19,18,13,6,2],""bins"":[0,3.984374761581421,7.968749523162842,11.953124284744263,15.937499046325684,19.921873807907104,23.906248569488525,27.890623331069946,31.874998092651367,35.85937285423279,39.84374761581421,43.82812237739563,47.81249713897705,51.79687190055847,55.78124666213989,59.76562142372131,63.749996185302734,67.73437094688416,71.71874570846558,75.703120470047,79.68749523162842,83.67186999320984,87.65624475479126,91.64061951637268,95.6249942779541,99.60936903953552,103.59374380111694,107.57811856269836,111.56249332427979,115.5468680858612,119.53124284744263,123.51561760902405,127.49999237060547,131.4843671321869,135.4687418937683,139.45311665534973,143.43749141693115,147.42186617851257,151.406240940094,155.39061570167542,159.37499046325684,163.35936522483826,167.34373998641968,171.3281147480011,175.31248950958252,179.29686427116394,183.28123903274536,187.26561379432678,191.2499885559082,195.23436331748962,199.21873807907104,203.20311284065247,207.1874876022339,211.1718623638153,215.15623712539673,219.14061188697815,223.12498664855957,227.109361410141,231.0937361717224,235.07811093330383,239.06248569488525,243.04686045646667,247.0312352180481,251.01560997962952,254.99998474121094]}"
"707","{""values"":[159,727,2923,8812,17513,20941,24008,26156,28385,29739,30481,30446,30078,29831,29200,28847,28508,28293,28313,28323,28300,28314,28043,27878,27693,27606,27219,26895,26196,26061,25219,24377,23236,22583,21299,20059,19106,17880,16591,15717,14444,13170,12263,11065,10085,9021,8141,6998,6230,5203,4390,3631,2980,2362,1962,1453,1063,752,504,369,223,153,75,84],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"712","{""values"":[285,1537,8371,26005,45783,55341,55406,53239,51637,49203,46251,42458,39174,36001,33728,31677,30126,28944,27690,26667,25729,24672,23891,22827,22119,21216,20159,19164,17636,17011,15596,14488,13182,12226,11096,9910,8830,7909,6892,6137,5466,4682,4237,3845,3262,2864,2580,2196,1912,1619,1362,1090,830,661,504,384,285,205,137,100,53,35,28,26],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"717","{""values"":[334,1633,10808,49025,91447,101570,87781,73184,62615,53019,45201,39268,34290,30555,27585,24931,23228,21688,20235,19157,18385,17637,16911,16229,15373,15067,14134,13270,12394,11465,10606,9612,8469,7550,6633,5686,4997,4222,3617,3053,2502,2173,1776,1490,1344,1112,953,802,663,600,510,417,346,255,232,158,121,97,70,34,20,12,14,11],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"722","{""values"":[350,2014,11048,33399,51909,52145,49586,47218,45261,43258,41145,37235,34511,31789,29767,28283,26640,25858,24597,24478,24045,23643,22862,22946,22418,22147,21459,20971,20155,19134,18705,17358,16048,14845,13359,12154,11195,10096,8953,8072,7388,6484,5918,5309,4780,4416,3947,3435,3015,2597,2219,1903,1571,1268,925,739,566,387,228,170,115,68,35,37],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"727","{""values"":[297,1764,8382,24840,46020,54053,54494,53215,51459,49060,45205,41441,38264,34926,32602,30255,28945,27182,25713,25055,23671,22660,22292,21256,20920,20312,19378,18825,18305,17349,16449,15354,14578,13500,12390,11462,10439,9549,8751,7816,7045,6254,5595,4984,4339,3786,3358,2984,2465,2022,1641,1407,1146,832,678,525,392,252,185,114,68,34,18,24],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"732","{""values"":[363,2500,15918,57076,93462,89542,74499,63995,55535,48282,42231,37506,33502,30566,27947,26134,24309,22853,21629,20779,19689,19176,18260,17516,17045,15994,15039,14255,13266,12318,11406,10445,9316,8513,7855,6726,5998,5155,4707,4027,3434,3060,2593,2281,1918,1702,1406,1265,1077,906,747,594,543,445,342,256,216,139,115,74,42,37,29,21],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"737","{""_type"":""histogram"",""values"":[271,1851,11419,44701,79258,79382,67024,57677,52338,47394,42921,39571,35302,32517,29807,27646,26336,24852,23998,23124,22328,21739,20704,19837,18890,17922,17090,16319,15148,14151,12639,11442,10508,9534,8579,7617,6847,6028,5297,4976,4271,3915,3486,3138,2780,2574,2255,2013,1777,1463,1251,1076,903,681,586,436,296,226,172,122,76,48,22,25],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"742","{""_type"":""histogram"",""values"":[251,1521,9531,28059,39278,43807,44294,44196,44068,43190,41381,38714,35927,34011,32449,31081,29746,28741,27614,26550,26028,25155,24361,23540,23023,22244,21363,21153,20234,19187,18161,17548,16348,15240,14294,13065,12161,10980,9994,9134,8291,7443,6683,6021,5272,4621,4046,3539,2992,2556,2102,1781,1382,1121,839,622,523,387,282,173,97,77,50,54],""bins"":[0,3.984375476837158,7.968750953674316,11.953126430511475,15.937501907348633,19.92187738418579,23.90625286102295,27.890628337860107,31.875003814697266,35.859379291534424,39.84375476837158,43.82813024520874,47.8125057220459,51.79688119888306,55.781256675720215,59.76563215255737,63.75000762939453,67.73438310623169,71.71875858306885,75.703134059906,79.68750953674316,83.67188501358032,87.65626049041748,91.64063596725464,95.6250114440918,99.60938692092896,103.59376239776611,107.57813787460327,111.56251335144043,115.54688882827759,119.53126430511475,123.5156397819519,127.50001525878906,131.48439073562622,135.46876621246338,139.45314168930054,143.4375171661377,147.42189264297485,151.406268119812,155.39064359664917,159.37501907348633,163.3593945503235,167.34377002716064,171.3281455039978,175.31252098083496,179.29689645767212,183.28127193450928,187.26564741134644,191.2500228881836,195.23439836502075,199.2187738418579,203.20314931869507,207.18752479553223,211.17190027236938,215.15627574920654,219.1406512260437,223.12502670288086,227.10940217971802,231.09377765655518,235.07815313339233,239.0625286102295,243.04690408706665,247.0312795639038,251.01565504074097,255.00003051757812]}"
