"Step","shared_encoder_v2 - generated R distribution"
"797","{""_type"":""histogram"",""values"":[51,106,332,920,2123,5137,9614,15076,20111,25580,30340,34182,38303,40292,41207,40995,40381,39778,38243,36678,34714,33237,31024,28868,26892,25584,24222,22753,21599,20711,19712,18993,18543,17748,17398,16698,16419,15527,15506,14806,14245,13614,13112,12568,12021,11511,11268,10887,10324,9617,7901,6070,4377,3204,2424,1577,1198,872,614,384,200,96,37,52],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"802","{""values"":[9,20,70,289,1073,3532,8896,18018,26829,33402,37599,40144,42074,43601,44101,43354,42026,39940,37763,35720,32661,30409,28538,26567,24956,23217,22171,21119,19862,19054,18003,17582,16586,15836,15158,14509,14195,13700,13250,12747,12339,11799,11388,11031,10918,10950,10896,10615,10464,9954,8565,6575,5205,4315,3810,3153,2559,1984,1468,941,561,280,127,99],""_type"":""histogram"",""bins"":[1.1582083702087402,5.124486602842808,9.090764835476875,13.057043068110943,17.02332130074501,20.989599533379078,24.955877766013145,28.922155998647213,32.88843423128128,36.85471246391535,40.820990696549416,44.78726892918348,48.75354716181755,52.71982539445162,56.686103627085686,60.65238185971975,64.61866009235382,68.58493832498789,72.55121655762196,76.51749479025602,80.48377302289009,84.45005125552416,88.41632948815823,92.3826077207923,96.34888595342636,100.31516418606043,104.2814424186945,108.24772065132856,112.21399888396263,116.1802771165967,120.14655534923077,124.11283358186483,128.0791118144989,132.04539004713297,136.01166827976704,139.9779465124011,143.94422474503517,147.91050297766924,151.8767812103033,155.84305944293737,159.80933767557144,163.7756159082055,167.74189414083958,171.70817237347364,175.6744506061077,179.64072883874178,183.60700707137585,187.57328530400991,191.53956353664398,195.50584176927805,199.47212000191212,203.43839823454618,207.40467646718025,211.37095469981432,215.3372329324484,219.30351116508245,223.26978939771652,227.2360676303506,231.20234586298466,235.16862409561872,239.1349023282528,243.10118056088686,247.06745879352093,251.033737026155,255.00001525878906]}"
"807","{""values"":[7,27,135,439,967,1882,3783,6357,9142,11848,14435,16813,18772,20539,21753,22590,23437,23668,23737,24088,24003,23938,23768,24223,23962,24057,23990,24238,24823,24597,24979,24980,25056,24983,25156,25306,24903,25069,24946,25035,24642,24306,24048,24358,24665,26001,27250,27000,25797,21755,16096,11908,8950,6703,4905,3718,3128,2410,1917,1260,691,393,161,83],""_type"":""histogram"",""bins"":[9.814003944396973,13.645035371184349,17.476066797971725,21.307098224759102,25.13812965154648,28.969161078333855,32.80019250512123,36.63122393190861,40.462255358695984,44.29328678548336,48.12431821227074,51.95534963905811,55.78638106584549,59.617412492632866,63.44844391942024,67.27947534620762,71.110506772995,74.94153819978237,78.77256962656975,82.60360105335712,86.4346324801445,90.26566390693188,94.09669533371925,97.92772676050663,101.758758187294,105.58978961408138,109.42082104086876,113.25185246765614,117.08288389444351,120.91391532123089,124.74494674801826,128.57597817480564,132.40700960159302,136.2380410283804,140.06907245516777,143.90010388195515,147.73113530874252,151.5621667355299,155.39319816231728,159.22422958910465,163.05526101589203,166.8862924426794,170.71732386946678,174.54835529625416,178.37938672304153,182.2104181498289,186.0414495766163,189.87248100340366,193.70351243019104,197.53454385697842,201.3655752837658,205.19660671055317,209.02763813734055,212.85866956412792,216.6897009909153,220.52073241770267,224.35176384449005,228.18279527127743,232.0138266980648,235.84485812485218,239.67588955163956,243.50692097842693,247.3379524052143,251.1689838320017,255.00001525878906]}"
"812","{""_type"":""histogram"",""values"":[62,153,372,954,2144,4099,6607,9232,12595,15351,18671,21423,23780,25597,27043,27626,27389,27392,26868,26124,26070,25479,25226,24756,24616,24309,24123,24187,23878,24179,24129,23725,24017,24116,24439,24198,24042,23905,23964,23867,23362,22777,22631,22313,22789,24447,26099,25872,21845,16407,10946,6873,4426,2847,1753,1090,624,344,216,105,65,21,11,6],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"817","{""values"":[6,11,47,136,406,1295,3696,8406,14415,20210,25296,28576,31590,34104,35448,35412,34940,33598,31729,29920,28391,26980,25620,25004,23481,23009,22326,21411,21157,20427,20476,20193,19617,19392,19418,18993,19133,18930,18880,18874,18351,18052,17895,17636,17148,16936,16345,15825,16201,16565,15984,15244,13855,11253,7544,4763,3050,1916,1265,816,493,259,130,97],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"822","{""values"":[41,83,252,616,1449,3083,5447,8951,13213,18618,24394,29901,34806,37149,37992,36813,35357,33290,31081,29488,28069,26509,25546,24470,23416,23036,22341,21941,21824,21420,21169,21238,20916,20961,20685,20583,20539,20119,19819,19833,19524,18918,18716,18449,18785,19534,21345,21959,19744,15542,10998,6855,4099,2481,1675,1119,858,588,391,252,156,78,22,30],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"827","{""values"":[14,47,119,268,645,1163,2148,3385,5053,7054,9124,11603,14075,16299,18264,20246,21706,23186,24163,24736,25157,25494,25917,25494,25480,25559,25687,25362,25413,25503,25870,25760,25840,26385,26325,26849,27159,27082,27021,27224,27079,27188,26752,26702,27542,28366,27797,29827,30133,25978,18118,12243,7771,4133,2193,1119,653,439,290,182,93,51,28,20],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"832","{""_type"":""histogram"",""values"":[60,151,495,1240,2964,5715,9782,14037,18909,23751,27973,31682,33601,34775,35096,34538,33785,32966,31993,30413,29434,28308,27304,26334,25643,24702,24008,23333,23102,22727,22410,22019,21586,21326,21097,20455,20322,20022,19254,19202,18383,17936,17574,17347,18219,17888,17618,15535,12400,9130,6463,4526,3089,2047,1359,896,611,382,298,156,88,68,21,28],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"837","{""_type"":""histogram"",""values"":[6,30,108,395,1360,3907,7732,11755,15210,17698,20445,22605,24820,27110,28807,29793,30745,30520,30390,29920,28851,28447,27318,26563,25825,25281,24749,24044,23954,23334,23108,22887,22596,22275,22114,21545,20917,20708,20138,19953,19532,18849,18343,17915,17815,17890,17632,17971,17967,17252,14905,11383,8950,6523,4944,3845,2904,2244,1591,977,582,332,175,92],""bins"":[6.781768321990967,10.660178430378437,14.538588538765907,18.416998647153378,22.295408755540848,26.173818863928318,30.05222897231579,33.93063908070326,37.80904918909073,41.6874592974782,45.56586940586567,49.44427951425314,53.32268962264061,57.20109973102808,61.07950983941555,64.95791994780302,68.83633005619049,72.71474016457796,76.59315027296543,80.4715603813529,84.34997048974037,88.22838059812784,92.10679070651531,95.98520081490278,99.86361092329025,103.74202103167772,107.6204311400652,111.49884124845266,115.37725135684013,119.2556614652276,123.13407157361507,127.01248168200254,130.89089179039001,134.76930189877748,138.64771200716496,142.52612211555243,146.4045322239399,150.28294233232737,154.16135244071484,158.0397625491023,161.91817265748978,165.79658276587725,169.67499287426472,173.5534029826522,177.43181309103966,181.31022319942713,185.1886333078146,189.06704341620207,192.94545352458954,196.823863632977,200.70227374136448,204.58068384975195,208.45909395813942,212.3375040665269,216.21591417491436,220.09432428330183,223.9727343916893,227.85114450007677,231.72955460846424,235.6079647168517,239.48637482523918,243.36478493362665,247.24319504201412,251.1216051504016,255.00001525878906]}"
"842","{""_type"":""histogram"",""values"":[7,10,47,115,295,657,1428,2574,4178,5972,7931,9539,11656,12974,14263,15248,16291,16938,17342,17799,18081,18411,18933,19283,19625,20248,20663,21451,21749,22719,23298,24017,24956,25634,26370,26682,27409,28029,28777,29027,29447,30047,30470,31488,32383,34519,37167,37683,38416,36931,29007,20096,13753,9196,5644,3722,2757,1990,1438,920,505,230,92,49],""bins"":[4.70173454284668,8.6126449406147,12.523555338382721,16.43446573615074,20.345376133918762,24.256286531686783,28.167196929454803,32.078107327222824,35.989017724990845,39.899928122758865,43.810838520526886,47.72174891829491,51.63265931606293,55.54356971383095,59.45448011159897,63.36539050936699,67.27630090713501,71.18721130490303,75.09812170267105,79.00903210043907,82.91994249820709,86.83085289597511,90.74176329374313,94.65267369151115,98.56358408927917,102.4744944870472,106.38540488481522,110.29631528258324,114.20722568035126,118.11813607811928,122.0290464758873,125.93995687365532,129.85086727142334,133.76177766919136,137.67268806695938,141.5835984647274,145.49450886249542,149.40541926026344,153.31632965803146,157.22724005579948,161.1381504535675,165.04906085133553,168.95997124910355,172.87088164687157,176.7817920446396,180.6927024424076,184.60361284017563,188.51452323794365,192.42543363571167,196.3363440334797,200.2472544312477,204.15816482901573,208.06907522678375,211.97998562455177,215.8908960223198,219.80180642008781,223.71271681785583,227.62362721562386,231.53453761339188,235.4454480111599,239.35635840892792,243.26726880669594,247.17817920446396,251.08908960223198,255]}"
"847","{""_type"":""histogram"",""values"":[2,12,33,136,478,1609,4015,8029,13293,19392,25409,30127,33799,36212,37411,37386,36602,35665,34070,32740,30907,29624,28199,26773,26026,24764,23883,23188,22500,21768,21491,20544,20497,20065,19386,19307,18783,18379,18086,17582,16889,16451,16108,15562,15360,14780,15467,15988,15815,15329,13859,10620,7610,5526,4012,3197,2375,1946,1346,1017,579,308,167,93],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"852","{""values"":[5,15,26,103,356,1213,3487,7315,11402,15304,18561,21821,24166,26070,26844,27257,27805,27430,27096,26839,26232,25617,25262,24851,24811,24202,23810,23749,23825,23591,23374,22983,22996,22794,23018,22455,22510,22049,22087,21699,21554,21176,20801,21124,21580,21976,22346,23152,22744,20947,17688,13442,9582,6731,5082,3781,3127,2383,1822,1229,698,325,162,94],""_type"":""histogram"",""bins"":[2.6716153621673584,6.6142466105520725,10.556877858936787,14.4995091073215,18.442140355706215,22.38477160409093,26.327402852475643,30.270034100860357,34.21266534924507,38.155296597629786,42.0979278460145,46.040559094399214,49.98319034278393,53.92582159116864,57.868452839553356,61.81108408793807,65.75371533632278,69.6963465847075,73.63897783309221,77.58160908147693,81.52424032986164,85.46687157824636,89.40950282663107,93.35213407501578,97.2947653234005,101.23739657178521,105.18002782016993,109.12265906855464,113.06529031693935,117.00792156532407,120.95055281370878,124.8931840620935,128.8358153104782,132.77844655886292,136.72107780724764,140.66370905563235,144.60634030401707,148.54897155240178,152.4916028007865,156.4342340491712,160.37686529755592,164.31949654594064,168.26212779432535,172.20475904271007,176.14739029109478,180.0900215394795,184.0326527878642,187.97528403624892,191.91791528463364,195.86054653301835,199.80317778140306,203.74580902978778,207.6884402781725,211.6310715265572,215.57370277494192,219.51633402332664,223.45896527171135,227.40159652009606,231.34422776848078,235.2868590168655,239.2294902652502,243.17212151363492,247.11475276201963,251.05738401040435,255.00001525878906]}"
"857","{""_type"":""histogram"",""values"":[10,8,15,71,151,348,653,1319,2438,3967,5834,7978,9732,11651,13531,15143,16625,17839,18979,19730,20293,21028,21608,22175,22639,23015,23787,24757,24873,25634,26686,26940,27394,28301,28672,29424,29522,30108,29936,30431,30636,30476,31030,30786,31089,31643,32864,33190,30179,27366,22545,16487,11812,8053,5333,3785,2697,2041,1448,943,496,264,107,61],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"862","{""values"":[1,9,36,129,327,881,1796,3187,4971,6945,8981,10503,12293,13663,14562,15623,16331,17031,17685,17951,18664,19239,19385,19860,20446,20808,21651,22043,22747,23153,23921,24672,25334,25970,26529,27252,27645,28409,28868,29739,29951,30410,31777,32704,36401,39527,40302,38284,34648,28848,21193,14745,10557,7127,4687,3108,2081,1244,776,485,280,121,54,26],""_type"":""histogram"",""bins"":[7.169119834899902,11.04147757589817,14.913835316896439,18.786193057894707,22.658550798892975,26.530908539891243,30.40326628088951,34.27562402188778,38.14798176288605,42.020339503884315,45.892697244882584,49.76505498588085,53.63741272687912,57.50977046787739,61.382128208875656,65.25448594987392,69.12684369087219,72.99920143187046,76.87155917286873,80.743916913867,84.61627465486526,88.48863239586353,92.3609901368618,96.23334787786007,100.10570561885834,103.9780633598566,107.85042110085487,111.72277884185314,115.59513658285141,119.46749432384968,123.33985206484795,127.21220980584621,131.08456754684448,134.95692528784275,138.82928302884102,142.7016407698393,146.57399851083755,150.44635625183582,154.3187139928341,158.19107173383236,162.06342947483063,165.9357872158289,169.80814495682716,173.68050269782543,177.5528604388237,181.42521817982197,185.29757592082024,189.1699336618185,193.04229140281677,196.91464914381504,200.7870068848133,204.65936462581158,208.53172236680984,212.4040801078081,216.27643784880638,220.14879558980465,224.02115333080292,227.89351107180119,231.76586881279945,235.63822655379772,239.510584294796,243.38294203579426,247.25529977679253,251.1276575177908,255.00001525878906]}"
"867","{""values"":[36,81,269,978,2640,6489,12720,20393,26745,32768,38560,43567,48226,50073,48964,46715,43091,39361,35994,33262,30312,27924,25890,24089,22960,21030,20157,18772,18312,17197,16823,16342,15737,15319,14768,14810,14500,13765,13407,13228,12829,12555,12104,11693,11061,10533,10012,9515,8986,7957,6628,5790,5230,4317,3416,2673,2126,1618,1271,863,576,292,146,111],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"872","{""values"":[4,11,33,93,271,620,1266,2333,3812,5570,7317,9297,10916,12607,13665,14953,16290,17060,18055,19234,19813,20525,21068,21730,22219,22843,23291,23735,24398,24953,25993,26331,27316,27891,28439,29095,29785,30648,31021,31103,31724,31732,32164,33854,37136,38315,42872,40329,33205,26962,17021,8538,3815,1671,955,699,522,498,345,272,189,104,40,10],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"877","{""_type"":""histogram"",""values"":[2,7,10,65,127,421,835,1710,2727,3962,5378,6700,8021,9089,10040,10834,12012,12172,12963,13674,14292,14743,15559,15826,16885,17789,18857,19757,21195,21613,22598,23884,24789,26002,27222,28194,29030,29807,31368,31685,31960,32775,33515,34187,35558,39117,41625,40821,40464,35484,28985,23453,17856,12747,9721,7899,6779,5403,3929,2380,1222,542,206,104],""bins"":[4.6040449142456055,8.516481950879097,12.428918987512589,16.34135602414608,20.25379306077957,24.166230097413063,28.078667134046555,31.991104170680046,35.90354120731354,39.81597824394703,43.72841528058052,47.64085231721401,51.553289353847504,55.465726390480995,59.37816342711449,63.29060046374798,67.20303750038147,71.11547453701496,75.02791157364845,78.94034861028194,82.85278564691544,86.76522268354893,90.67765972018242,94.59009675681591,98.5025337934494,102.4149708300829,106.32740786671638,110.23984490334988,114.15228193998337,118.06471897661686,121.97715601325035,125.88959304988384,129.80203008651733,133.71446712315083,137.62690415978432,141.5393411964178,145.4517782330513,149.3642152696848,153.27665230631828,157.18908934295177,161.10152637958527,165.01396341621876,168.92640045285225,172.83883748948574,176.75127452611923,180.66371156275272,184.57614859938622,188.4885856360197,192.4010226726532,196.3134597092867,200.22589674592018,204.13833378255367,208.05077081918716,211.96320785582066,215.87564489245415,219.78808192908764,223.70051896572113,227.61295600235462,231.5253930389881,235.4378300756216,239.3502671122551,243.2627041488886,247.17514118552208,251.08757822215557,255.00001525878906]}"
"882","{""values"":[15,44,188,745,3284,11790,28226,44590,54059,58430,59905,61476,62456,60244,57428,53472,48355,43068,38028,33458,29252,25465,22432,20236,17823,16133,14462,13053,12090,11049,10189,9243,8796,8111,7605,7135,6788,6623,6188,6000,5867,5440,5113,4954,4823,4431,4367,4063,4043,3644,3501,3256,3080,2826,2546,2203,1884,1487,1188,784,510,335,155,142],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"887","{""_type"":""histogram"",""values"":[39,100,418,1379,3654,8432,16678,27571,36530,42695,46944,50504,52641,52703,50312,46992,42666,37777,34301,30824,27951,25629,23373,21816,20466,18971,17944,17188,16152,15583,14934,14852,14353,13676,13506,13002,12694,12485,12252,11883,11655,11318,10858,10696,10434,10043,10261,9912,8313,6674,5574,4725,4089,3172,2600,1900,1515,1070,739,476,341,169,98,74],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
