"Step","shared_encoder_v2 - generated G distribution"
"867","{""values"":[27,77,262,1206,4237,10811,17686,21681,23555,24921,26414,28139,30339,33489,35662,38543,39878,39998,39443,37663,35590,32887,30589,28183,25897,24037,22822,21336,20580,19391,18559,17853,16976,16644,16094,15325,14861,14449,14063,13858,13588,13155,12954,12652,12588,12352,12136,11777,10938,10331,9731,8930,7585,6641,5516,4463,3360,2338,1561,905,537,273,165,75],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"872","{""values"":[198,483,1324,2954,5540,8436,11463,14047,15753,16999,18147,19040,19334,20175,20591,21706,21988,22844,23737,24207,24894,25523,26429,27034,27752,28414,28626,28952,29500,29798,29950,30220,30002,29932,29291,28548,27325,26568,25529,24329,23659,22964,23323,24363,23232,24138,21957,14813,9971,5150,2305,1168,904,803,637,535,412,289,180,107,55,20,5,4],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"877","{""_type"":""histogram"",""values"":[159,290,723,1668,3170,5419,8050,10083,12039,13731,14685,15455,16495,17357,17832,18881,19869,20747,21492,22197,23425,23901,25156,25799,27027,27772,28425,29335,29659,30440,30125,30736,30622,30330,29975,29418,29152,28172,27586,27034,26047,25028,24417,23610,23861,23840,22327,20486,17190,12352,8445,5883,3645,2548,1787,1271,736,386,176,72,26,9,1,2],""bins"":[0,3.943248987197876,7.886497974395752,11.829746961593628,15.772995948791504,19.71624493598938,23.659493923187256,27.602742910385132,31.545991897583008,35.489240884780884,39.43248987197876,43.375738859176636,47.31898784637451,51.26223683357239,55.205485820770264,59.14873480796814,63.091983795166016,67.03523278236389,70.97848176956177,74.92173075675964,78.86497974395752,82.8082287311554,86.75147771835327,90.69472670555115,94.63797569274902,98.5812246799469,102.52447366714478,106.46772265434265,110.41097164154053,114.3542206287384,118.29746961593628,122.24071860313416,126.18396759033203,130.1272165775299,134.07046556472778,138.01371455192566,141.95696353912354,145.9002125263214,149.8434615135193,153.78671050071716,157.72995948791504,161.67320847511292,165.6164574623108,169.55970644950867,173.50295543670654,177.44620442390442,181.3894534111023,185.33270239830017,189.27595138549805,193.21920037269592,197.1624493598938,201.10569834709167,205.04894733428955,208.99219632148743,212.9354453086853,216.87869429588318,220.82194328308105,224.76519227027893,228.7084412574768,232.65169024467468,236.59493923187256,240.53818821907043,244.4814372062683,248.4246861934662,252.36793518066406]}"
"882","{""_type"":""histogram"",""values"":[130,442,2160,9780,29201,54936,68094,68215,65714,63834,63601,61999,59622,55011,49610,43804,38020,31960,27284,23645,20035,17384,15219,13541,11950,10964,9765,9066,8369,7996,7234,7047,6590,6306,6196,5772,5619,5475,5240,5148,4962,4717,4510,4357,4053,3641,3568,3106,2867,2455,1881,1738,1358,1043,835,554,381,240,156,91,47,21,12,5],""bins"":[0,3.984374761581421,7.968749523162842,11.953124284744263,15.937499046325684,19.921873807907104,23.906248569488525,27.890623331069946,31.874998092651367,35.85937285423279,39.84374761581421,43.82812237739563,47.81249713897705,51.79687190055847,55.78124666213989,59.76562142372131,63.749996185302734,67.73437094688416,71.71874570846558,75.703120470047,79.68749523162842,83.67186999320984,87.65624475479126,91.64061951637268,95.6249942779541,99.60936903953552,103.59374380111694,107.57811856269836,111.56249332427979,115.5468680858612,119.53124284744263,123.51561760902405,127.49999237060547,131.4843671321869,135.4687418937683,139.45311665534973,143.43749141693115,147.42186617851257,151.406240940094,155.39061570167542,159.37499046325684,163.35936522483826,167.34373998641968,171.3281147480011,175.31248950958252,179.29686427116394,183.28123903274536,187.26561379432678,191.2499885559082,195.23436331748962,199.21873807907104,203.20311284065247,207.1874876022339,211.1718623638153,215.15623712539673,219.14061188697815,223.12498664855957,227.109361410141,231.0937361717224,235.07811093330383,239.06248569488525,243.04686045646667,247.0312352180481,251.01560997962952,254.99998474121094]}"
"887","{""values"":[97,319,982,3160,9461,20318,31449,38152,38901,38738,39017,39161,40056,40906,40938,41040,39714,37470,35107,31854,29213,26530,24860,22395,21129,19313,18434,17261,16488,15710,15185,14621,14055,13455,12923,12699,12400,12137,11915,11581,11232,11118,11093,10819,11101,11081,10775,9639,8519,7912,7215,6490,5561,4662,3650,2920,2093,1452,965,538,286,161,84,66],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"892","{""values"":[87,198,488,1469,3322,6307,9752,12733,14930,16800,19012,21415,24072,27056,29270,31122,31848,32488,32484,32056,31306,30678,29674,29041,28430,28286,27592,26914,26896,26454,25734,25193,24769,24072,23443,22865,21931,21400,20347,19869,19137,18002,17502,16765,16197,15493,14992,14014,12734,10457,8265,6379,4599,3411,2791,2074,1448,1037,711,372,208,92,51,42],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"897","{""values"":[150,485,1439,4021,8868,16170,23380,28027,29551,29332,29866,29758,29502,29056,28702,28642,27922,26853,26696,25927,25438,24702,24093,23592,23144,22928,22468,22184,22285,22158,21853,21611,21366,21166,20691,20509,19971,19905,19375,19095,18806,18180,17874,17465,17335,16879,16304,16164,13779,10202,7650,4952,3092,2110,1724,1160,820,521,294,195,90,57,22,20],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"902","{""_type"":""histogram"",""values"":[121,395,1194,3297,7243,12354,17046,21302,23432,25000,26457,27667,28898,30070,31347,32302,32619,33075,33079,32289,31027,30133,28979,28317,26857,26133,25429,24503,23538,23257,22343,21676,20926,20619,19745,19049,18512,17604,16847,16211,15741,15144,14488,14178,13981,13359,13489,13081,11105,9295,7772,6427,5129,3949,3257,2497,1761,1236,795,505,246,133,62,54],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"907","{""values"":[41,106,333,945,2520,5962,11139,15920,19969,23215,26438,30451,34661,38797,41565,42771,42658,40948,38223,34686,32148,29561,27338,25859,24399,23059,21958,20848,20117,19294,18846,18313,17567,17257,16697,16447,15896,15747,15532,15258,15048,14951,14658,14468,14466,14552,14316,14100,13128,10865,9071,7901,6827,5663,4505,3655,2554,1756,1106,732,375,222,100,68],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"912","{""values"":[59,172,534,1641,4818,11589,20683,26660,28526,28501,29060,30333,31359,33050,34000,35318,35695,35666,34502,33372,31700,29860,28060,26533,24874,23673,22400,20932,20148,19228,18566,17658,17430,16855,16668,16211,15636,15469,14974,14663,14200,14046,13768,13707,13417,13729,13677,12524,11433,10731,9727,8720,7763,6626,5339,4193,3003,2128,1303,714,399,191,99,63],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"917","{""_type"":""histogram"",""values"":[64,182,440,1584,4534,10048,17917,24023,27712,29656,31563,33761,35911,38283,40508,42188,41686,40587,38989,36086,33889,31125,28689,26888,25575,23586,22282,21344,20115,19193,18733,17785,17069,16367,16020,15192,14823,14246,13832,13620,13231,12967,12478,12346,11832,11887,11727,10751,9122,7616,6365,5355,4450,3685,2742,2120,1432,1014,574,388,201,108,51,39],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"922","{""values"":[159,433,1190,2846,5611,10231,15137,19207,21205,22863,24037,25160,26065,27221,27920,28048,28672,28671,29133,28653,28296,27895,27558,27444,26402,26106,25619,25259,24899,24453,23958,23673,23112,22547,21796,21560,20815,20444,20100,19493,19291,18901,18947,19360,18384,18604,19294,17370,13220,9987,5897,3852,3123,2611,1880,1487,1028,644,370,217,123,52,26,17],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"927","{""values"":[92,263,724,1855,3786,7324,11559,15404,18227,21056,22983,25203,27082,29434,31278,32572,33242,33592,33429,32867,31923,31014,30319,28851,28538,27133,26666,25680,24880,24291,23930,23293,22751,22277,21601,21144,20758,19867,19281,18751,17825,17432,16978,16552,16912,16129,15231,14515,11390,7929,6004,4457,3583,2712,2093,1467,987,600,379,222,138,72,35,14],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"932","{""values"":[13,60,246,1515,5622,13977,24248,33549,40072,43928,47436,50085,52225,53322,53221,52522,51559,49380,47084,43771,39376,36085,31862,28268,24470,21677,19080,16958,14815,13044,11805,10890,9774,8806,8225,7587,6998,6543,6088,5915,5391,5034,4972,4626,4510,4112,3829,3464,3166,2934,2673,2435,2087,1844,1510,1166,942,638,422,320,193,124,52,31],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"937","{""values"":[43,136,791,2815,8213,17722,26858,31262,32310,32672,34131,35709,37175,38655,40318,40798,40848,39954,39005,36905,34118,31206,29046,26992,24874,22952,21403,19879,18509,17652,16753,15758,15222,14438,13844,13306,12834,11841,11908,11723,11055,10821,10486,10005,9780,9479,9393,8734,8488,7665,6937,5887,4904,3978,3121,2446,1777,1194,805,472,328,141,54,48],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"942","{""values"":[33,65,186,442,996,2204,4041,6605,8921,11217,13527,16213,19222,22409,26198,30193,33073,35645,37372,37859,37439,36128,35015,33089,31556,30209,28559,27349,25935,24974,24449,23747,22769,22402,21607,21069,20680,20148,19743,19114,18827,18245,17897,17261,16985,16737,16420,15862,14132,12657,10972,9159,7928,6477,5158,3986,2776,1899,1241,749,428,210,92,76],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"947","{""_type"":""histogram"",""values"":[52,143,476,1497,3939,8974,15309,20969,24336,26189,27620,30007,32038,34798,37433,39662,40762,40556,38961,36226,33844,31311,28915,26333,24954,23196,22010,21010,20035,19365,18425,17900,17126,16745,16340,15830,15400,15100,14646,14487,14194,13791,13580,13761,13396,13467,13042,12312,11253,10373,9190,7945,7014,5867,4869,3955,2973,1959,1241,735,407,185,93,55],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"952","{""_type"":""histogram"",""values"":[164,376,855,2071,3608,5217,6683,7959,8790,9511,10169,10734,11585,11978,12832,13930,14751,15329,16275,17204,17995,18740,19536,20654,21320,22504,23094,23971,25288,26080,27158,27934,28682,29346,30463,30460,30859,31321,31611,31639,32002,32127,32773,33766,35056,35669,34571,28067,21500,17095,12734,9244,7406,5867,4574,3247,2089,1154,539,238,112,46,15,9],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"957","{""_type"":""histogram"",""values"":[53,110,309,724,1572,3696,7525,11745,15776,18187,19883,21864,23601,25294,26918,28673,30350,31425,31678,31898,31462,30882,30014,28893,28038,27688,26916,26024,25542,25101,24406,24086,23392,22773,22136,21626,20794,20374,19563,18930,18374,17964,17243,16919,16613,16156,15989,15472,13893,12628,11014,9632,8500,7451,6247,4943,3661,2529,1586,882,512,267,117,63],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"962","{""values"":[59,140,623,2235,7526,19753,33678,43789,48467,50862,51917,52721,52958,52145,49187,46168,41236,36914,33129,29550,26849,24014,22146,20195,18770,17514,16277,15457,14572,13731,12855,12476,11936,11510,10978,10523,10178,10092,9888,9469,9151,8962,8651,8480,8177,7856,7739,7333,6133,5287,4374,3492,3028,2350,1727,1256,866,527,327,182,84,56,33,18],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
